Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
BeEmW,sedan,4,1999,"68,263 SAR",2003,"38,261 SAR",73780000mts,6.92,2WD,standard,Dhahran,-5,2,Blue,individual,0
JournalMotors,SUV,8,2002,"108,662 SAR",2005,"68,131 SAR",63332000mts,1.89,2WD,standard,Dammam,-5,2,Black,individual,0
Toyoda,sedan,4,2006,"80,653 SAR",2011,"43,407 SAR",55591,14.58,4WD,standard,Madinah,4,2,Gray,individual,0
Masda,suv,4,2000,"104,443 SAR",2003,"72,378 SAR",26987000mts,10.53,2WD,premium,Riyadh,3,3,Silver,individual,0
Toyoda,CROSSOVER,6,1995,"64,866 SAR",2004,"20,140 SAR",192683,10.37,2WD,standard,JED,4,3,Gray,individual,0
Wolksvagon,suv,4,2007,,2014,"50,555 SAR",317630000mts,6.89,2WD,standard,Jeddah,-3,1,White,individual,0
BeEmW,suv,4,2003,"110,836 SAR",2006,"59,417 SAR",139256,4.0,2WD,standard,Dhahran,8,3,Red,individual,0
Honta,CROSSOVER,6,1997,,2000,"35,076 SAR",65271,9.86,2WD,standard,Dammam,5,2,Gray,company,0
Fourd,crossover,6,2000,"83,554 SAR",2003,"44,792 SAR",106091000mts,7.18,2WD,standard,JED,4,2,Red,individual,0
JournalMotors,sedan,4,1996,"77,191 SAR",1999,"43,558 SAR",58435,4.82,4WD,standard,Dammam,9,2,Black,individual,0
Nesshan,sedan,6,2002,"51,744 SAR",2007,"26,571 SAR",103324,15.44,2WD,standard,Medina,11,4,White,individual,0
Nesshan,suv,4,2006,"84,014 SAR",2015,"22,627 SAR",174511000mts,13.71,2WD,standard,Makkah,5,4,Gray,individual,0
JournalMotors,crossover,4,2005,"110,701 SAR",2008,"59,345 SAR",134593000mts,4.29,4WD,standard,Jeddah,-3,1,Gray,individual,0
Masda,sedan,4,2007,"57,129 SAR",2012,"32,752 SAR",98117,12.34,2WD,standard,Makkah,3,2,Red,individual,1
Toyoda,suv,6,2006,"120,980 SAR",2008,"86,836 SAR",83009000mts,9.8,4WD,standard,Jeddah,-2,2,Gray,individual,0
JournalMotors,suv,4,2006,"117,620 SAR",2008,"73,412 SAR",36659,5.14,2WD,standard,Riyadh,8,2,Gray,company,0
BeEmW,sedan,4,2003,"73,890 SAR",2005,"46,003 SAR",89406,6.95,2WD,standard,RYD,-5,1,Black,individual,1
Toyoda,sedan,8,2001,,2007,"31,424 SAR",224985,10.53,2WD,standard,DMM,12,2,Gray,individual,1
JournalMotors,suv,4,1994,,2000,"44,052 SAR",77457,6.51,2WD,standard,Mecca,3,3,Black,individual,0
Wolksvagon,suv,8,2005,"118,608 SAR",2009,"76,451 SAR",168801,4.09,4WD,standard,Dammam,-5,1,Silver,individual,0
Toyoda,sedan,6,1992,"71,313 SAR",1994,"59,867 SAR",34990,13.01,2WD,premium,Jeddah,3,3,Black,individual,0
JournalMotors,SUV,8,2005,"115,313 SAR",2010,"51,268 SAR",108808,2.33,2WD,standard,Riyadh,12,1,Silver,individual,0
Honta,SEDAN,4,1996,,2002,"22,567 SAR",309263,19.02,2WD,standard,Jeddah,4,3,Brown,company,1
Shevy,suv,8,1999,,2004,"74,357 SAR",116897,3.06,2WD,premium,Mecca,2,1,Red,individual,1
Toyoda,sedan,6,2005,"92,251 SAR",2008,"73,519 SAR",23126,9.79,2WD,premium,DMM,-2,3,Gray,company,1
Huendae,suv,4,1992,"63,672 SAR",1999,"28,580 SAR",317188000mts,10.34,2WD,standard,Mecca,-2,2,Blue,individual,0
Toyoda,SEDAN,4,2006,"67,211 SAR",2009,"47,977 SAR",141352,22.07,2WD,standard,AdDhahran,7,2,Blue,individual,0
Toyoda,sedan,4,2004,"77,522 SAR",2011,"46,335 SAR",53645,16.94,4WD,standard,RYD,8,3,Red,individual,1
BeEmW,SUV,8,2004,"113,052 SAR",2010,"50,746 SAR",45089,2.51,2WD,standard,Medina,-2,2,Black,individual,1
Geep,suv,4,2003,"155,170 SAR",2007,"78,275 SAR",31446,5.1,2WD,premium,Riyadh,7,3,Blue,company,0
JournalMotors,crossover,4,2008,"117,477 SAR",2014,"55,801 SAR",136335,5.84,4WD,standard,Madinah,-3,2,Silver,individual,0
Fourd,suv,4,2006,"117,620 SAR",2008,"81,365 SAR",89667,6.88,2WD,standard,Makkah,2,2,White,individual,1
JournalMotors,suv,4,1999,"122,874 SAR",2000,"84,045 SAR",8282000mts,5.11,4WD,standard,Makkah,-3,2,Black,company,0
Fourd,suv,6,2003,"110,836 SAR",2007,"55,911 SAR",78506000mts,5.48,2WD,standard,Jeddah,-5,2,Silver,individual,0
Fourd,crossover,4,1997,"94,482 SAR",2003,"42,410 SAR",123971,7.55,4WD,standard,Dhahran,11,1,Brown,individual,1
Wolksvagon,SEDAN,8,2007,"68,555 SAR",2015,"21,286 SAR",134583000mts,5.2,2WD,standard,Dammam,4,3,Brown,company,0
Fourd,sedan,4,2001,,2008,"44,631 SAR",94101,7.04,2WD,premium,Riyadh,-2,2,Gray,individual,1
BeEmW,sedan,4,2003,"73,890 SAR",2011,"18,952 SAR",174467,8.65,2WD,standard,Madinah,6,2,Blue,company,0
Shevy,CROSSOVER,4,2004,"90,442 SAR",2010,"45,107 SAR",71270000mts,8.04,2WD,standard,RYD,0,1,Blue,company,1
Shevy,suv,4,2003,"110,836 SAR",2008,"52,015 SAR",234878,3.64,2WD,standard,Dhahran,-2,1,Silver,individual,0
Honta,SEDAN,4,1996,,1998,"44,163 SAR",41630,19.12,4WD,standard,Madinah,2,4,White,individual,0
Toyoda,sedan,4,2000,"59,681 SAR",2002,"49,477 SAR",93683,17.18,2WD,standard,Mecca,6,3,Gray,individual,1
JournalMotors,SEDAN,4,1996,,2004,"24,254 SAR",63057,5.17,2WD,premium,Makkah,6,3,White,individual,1
Honta,suv,4,1998,"86,046 SAR",2006,"23,174 SAR",327661000mts,12.15,4WD,standard,RYD,11,2,Gray,individual,0
Honta,sedan,4,1996,,2004,"14,328 SAR",137345,15.42,2WD,standard,Jeddah,8,3,White,individual,0
Fourd,sedan,8,2001,"99,430 SAR",2005,"50,157 SAR",70167000mts,2.99,2WD,premium,Medina,-3,2,Blue,company,0
Toyoda,sedan,6,2005,"79,072 SAR",2008,"59,415 SAR",58096,15.97,4WD,standard,Dammam,6,1,Gray,company,0
Fourd,sedan,8,1998,"93,695 SAR",2002,"47,264 SAR",89434,6.56,2WD,premium,DMM,5,2,White,individual,0
Toyoda,suv,6,2001,"127,838 SAR",2005,"86,738 SAR",29876,7.68,2WD,premium,Riyadh,3,3,Blue,individual,0
Huendae,sedan,4,2002,"51,744 SAR",2007,"29,523 SAR",232542,21.07,2WD,standard,Makkah,-3,2,Gray,individual,0
Fourd,sedan,4,1996,,1998,"56,208 SAR",22330,6.94,2WD,premium,Dhahran,7,2,White,company,0
Shevy,sedan,4,2009,,2014,"36,996 SAR",105079,8.7,2WD,standard,Madinah,-2,3,White,individual,0
Fourd,SUV,4,1995,"113,517 SAR",1998,"74,733 SAR",17960000mts,4.01,4WD,standard,Mecca,-3,3,Black,individual,1
Fourd,suv,4,1998,"120,465 SAR",2002,"63,806 SAR",42185,5.39,4WD,standard,RYD,7,2,Gray,individual,1
Honta,sedan,6,2002,,2010,"17,929 SAR",48685000mts,19.34,2WD,standard,Riyadh,3,1,White,company,0
Masda,sedan,8,2003,,2010,"29,925 SAR",73456000mts,11.52,4WD,standard,Makkah,6,3,Blue,individual,0
Mercetes,sedan,8,2006,,2011,"61,497 SAR",96482,5.09,4WD,premium,AdDhahran,-5,2,Gray,individual,1
Shevy,sedan,4,1999,"68,263 SAR",2005,"29,109 SAR",205363,10.26,2WD,standard,Makkah,9,2,Blue,individual,1
Masda,SUV,4,1999,,2006,"38,397 SAR",84717000mts,9.04,2WD,standard,Dhahran,-2,2,Black,individual,0
Nesshan,SEDAN,6,1999,,2003,"28,544 SAR",31609,12.45,2WD,standard,Madinah,9,2,Black,individual,1
BeEmW,SEDAN,4,2002,"72,441 SAR",2007,"32,207 SAR",104152,7.14,2WD,standard,Mecca,6,3,White,individual,0
Toyoda,sedan,6,2001,,2004,"52,395 SAR",152381000mts,12.33,2WD,premium,Dammam,7,1,Gray,individual,0
Mercetes,sedan,6,1998,"66,925 SAR",1999,"50,863 SAR",13550,3.87,2WD,standard,Dhahran,-5,2,Brown,company,0
Shevy,crossover,4,2000,"83,554 SAR",2002,"52,150 SAR",34186,4.71,2WD,standard,Madinah,5,2,Gray,company,0
Shevy,sedan,8,1995,,1998,"40,569 SAR",119911,3.5,4WD,standard,Makkah,4,1,Black,individual,0
JournalMotors,suv,6,2006,"117,620 SAR",2007,"80,452 SAR",21237,1.87,2WD,standard,AdDhahran,-2,3,Red,individual,0
Shevy,SUV,4,2008,"122,372 SAR",2008,"83,702 SAR",1270,7.93,2WD,standard,RYD,-5,3,Gray,individual,0
Mercetes,sedan,6,2007,"79,981 SAR",2011,"40,346 SAR",41809,7.63,2WD,standard,Dammam,7,2,Red,individual,0
Honta,CROSSOVER,6,2007,"95,978 SAR",2012,"47,163 SAR",105828000mts,12.88,2WD,premium,Riyadh,-5,2,Blue,company,0
Huendae,sedan,4,2001,"71,021 SAR",2003,"56,587 SAR",11413,27.09,2WD,premium,DMM,13,2,Silver,individual,1
Nesshan,CROSSOVER,4,2004,"64,601 SAR",2012,"18,314 SAR",155097000mts,11.55,2WD,standard,Riyadh,-3,1,Silver,individual,0
Honta,SEDAN,4,1999,"48,759 SAR",2003,"33,226 SAR",35277,21.28,2WD,standard,Jeddah,2,3,Silver,individual,0
Shevy,sedan,8,1995,"88,291 SAR",1999,"46,765 SAR",33181000mts,4.96,2WD,premium,Medina,4,2,Gray,individual,1
BeEmW,CROSSOVER,8,1994,"74,194 SAR",2000,"30,132 SAR",50159,3.14,2WD,standard,Jeddah,5,4,White,individual,0
JournalMotors,SUV,8,2006,,2012,"60,339 SAR",105615000mts,2.2,4WD,standard,Madinah,-2,2,Silver,individual,0
Toyoda,SEDAN,6,1997,"56,239 SAR",2001,"34,342 SAR",26195,11.91,2WD,standard,DMM,11,2,Red,individual,0
JournalMotors,sedan,4,1998,"80,310 SAR",2002,"45,013 SAR",40528000mts,11.66,4WD,standard,Jeddah,2,2,White,individual,0
Huendae,crossover,8,2000,"59,681 SAR",2003,"37,223 SAR",63331,10.33,2WD,standard,Dammam,5,3,Black,company,0
Toyoda,sedan,4,1991,,1993,"41,504 SAR",18341000mts,18.48,2WD,standard,Jeddah,8,1,Gray,individual,0
Toyoda,suv,4,1995,"97,300 SAR",1999,"59,416 SAR",37721,8.74,4WD,standard,Dhahran,6,2,Gray,individual,0
Toyoda,sedan,6,1992,"50,937 SAR",1996,"34,215 SAR",211423000mts,16.68,2WD,standard,Madinah,1,3,White,individual,0
JournalMotors,sedan,4,2001,,2003,"44,327 SAR",37218,5.72,2WD,standard,Makkah,12,3,Gray,individual,0
Fourd,crossover,4,2003,"88,668 SAR",2010,"39,800 SAR",133662,5.74,2WD,standard,Riyadh,9,1,Black,individual,1
