Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
Toyoda,crossover,4,2003,"91,202 SAR",2009,"44,837 SAR",138556,12.4,4WD,standard,Dhahran,8,4,Silver,individual,0
Toyoda,sedan,4,2009,"85,590 SAR",2015,"48,722 SAR",143829,16.67,4WD,standard,Jeddah,5,3,Gray,individual,0
Nesshan,suv,6,1995,"67,569 SAR",1999,"39,556 SAR",70443,7.48,2WD,standard,Madinah,7,2,Red,individual,1
Toyoda,suv,6,2000,"107,427 SAR",2002,"85,675 SAR",85751,4.98,4WD,standard,Dammam,1,2,White,company,0
JournalMotors,suv,4,2003,"110,836 SAR",2010,"47,382 SAR",137935,4.63,2WD,standard,Riyadh,4,1,Black,company,0
Huendae,sedan,4,1995,"45,046 SAR",1998,"32,621 SAR",118916,19.11,2WD,standard,Riyadh,3,2,Silver,individual,0
Huendae,sedan,6,2003,"52,779 SAR",2010,"30,479 SAR",129354,21.77,2WD,standard,Dhahran,2,2,White,individual,0
Masda,crossover,8,1997,"56,239 SAR",2002,"26,254 SAR",205078,8.4,2WD,standard,Dammam,7,1,Gray,individual,0
JournalMotors,suv,4,2007,"143,967 SAR",2008,"98,473 SAR",19065,3.63,4WD,standard,Dhahran,6,3,Blue,individual,0
Toyoda,sedan,4,1998,"68,837 SAR",1999,"62,539 SAR",31909,15.38,4WD,standard,Dammam,12,3,Black,individual,1
Shevy,sedan,4,2005,"107,626 SAR",2014,"30,673 SAR",206349,6.57,2WD,premium,Dammam,3,3,Black,individual,0
Nesshan,crossover,4,1993,"51,956 SAR",1996,"37,805 SAR",17142,12.54,2WD,standard,Jeddah,2,1,White,individual,1
BeEmW,crossover,6,1999,"81,916 SAR",2006,"36,964 SAR",253761,6.45,2WD,standard,Makkah,0,2,Gray,individual,0
Honta,crossover,4,1994,"63,595 SAR",2002,"22,035 SAR",40989,15.57,4WD,standard,Riyadh,2,2,Gray,individual,0
Nesshan,crossover,8,2004,"64,601 SAR",2007,"42,306 SAR",64990,10.36,2WD,standard,Makkah,10,1,White,individual,1
Huendae,sedan,8,1998,"66,925 SAR",2002,"37,314 SAR",38671,10.24,2WD,premium,Dhahran,9,2,Gray,individual,0
Masda,suv,6,1995,"67,569 SAR",1997,"44,281 SAR",83616,8.35,2WD,standard,Makkah,10,2,Silver,company,0
Huendae,sedan,4,2006,"56,009 SAR",2012,"26,199 SAR",300148,20.89,2WD,standard,Madinah,5,3,White,individual,0
Toyoda,suv,4,2004,"96,902 SAR",2010,"52,932 SAR",70762,8.29,2WD,standard,Makkah,2,4,White,individual,0
Toyoda,sedan,4,2003,"63,334 SAR",2007,"40,823 SAR",190234,14.21,2WD,standard,Makkah,3,2,Silver,individual,0
Toyoda,suv,8,1995,"81,083 SAR",1998,"55,387 SAR",69204,5.75,2WD,standard,Madinah,8,2,Black,company,0
BeEmW,suv,6,1996,"162,102 SAR",2000,"81,772 SAR",91422,5.01,4WD,premium,Dammam,5,1,Gray,individual,0
Masda,sedan,4,2000,"49,734 SAR",2004,"27,729 SAR",29873,13.61,2WD,standard,Makkah,5,2,Black,individual,0
Toyoda,suv,4,1994,"79,493 SAR",1999,"42,783 SAR",112244,6.88,2WD,standard,Dhahran,4,2,Black,individual,0
Huendae,suv,4,2000,"74,602 SAR",2003,"54,284 SAR",32179,14.69,2WD,standard,Madinah,1,1,Silver,individual,1
Shevy,crossover,4,2002,"121,702 SAR",2007,"57,114 SAR",207392,8.95,2WD,premium,Dammam,3,3,Gray,individual,0
Fourd,crossover,6,1997,"94,482 SAR",2002,"41,901 SAR",33858,5.78,4WD,standard,Makkah,5,4,White,individual,1
JournalMotors,crossover,4,1999,"81,916 SAR",1999,"50,427 SAR",1001,4.27,2WD,standard,Riyadh,10,2,Silver,individual,0
Shevy,suv,4,2005,"161,439 SAR",2013,"41,409 SAR",54777,4.69,2WD,premium,Dammam,11,1,Silver,company,0
Wolksvagon,suv,4,2000,"89,522 SAR",2006,"54,048 SAR",36168,10.02,2WD,standard,Dhahran,2,1,Gray,individual,1
Masda,suv,4,2005,"82,367 SAR",2008,"53,684 SAR",66081,16.73,2WD,standard,Riyadh,7,4,Blue,individual,0
Fourd,suv,4,2004,"113,052 SAR",2007,"60,605 SAR",125902,5.5,2WD,standard,Riyadh,9,1,Gray,individual,0
JournalMotors,crossover,4,1999,"81,916 SAR",2002,"46,225 SAR",34781,6.88,2WD,standard,Madinah,12,1,Gray,company,0
Toyoda,sedan,4,2008,"83,912 SAR",2016,"27,227 SAR",387226,19.17,4WD,standard,Jeddah,6,3,White,individual,0
Fourd,suv,6,1997,"98,419 SAR",2004,"44,177 SAR",72159,4.98,2WD,standard,Dhahran,9,2,Gray,individual,1
Toyoda,suv,4,2005,"98,840 SAR",2012,"48,592 SAR",332042,11.3,2WD,standard,Riyadh,6,2,White,company,0
JournalMotors,suv,4,2006,"197,602 SAR",2009,"130,091 SAR",32110,6.81,4WD,premium,Dammam,2,1,Silver,company,1
Huendae,suv,6,2003,"79,168 SAR",2007,"44,140 SAR",93324,12.01,2WD,standard,Dhahran,4,1,Silver,individual,0
Toyoda,crossover,4,2001,"102,271 SAR",2006,"70,637 SAR",110451,16.23,2WD,premium,Dammam,1,2,Red,individual,1
Toyoda,suv,4,2007,"102,833 SAR",2010,"73,757 SAR",46202,10.12,2WD,standard,Madinah,11,2,Silver,individual,1
JournalMotors,sedan,6,2001,"71,021 SAR",2007,"33,734 SAR",56731,9.21,2WD,standard,Riyadh,1,3,Blue,company,0
Toyoda,suv,4,1992,"91,688 SAR",1998,"49,820 SAR",52991,9.77,4WD,standard,Riyadh,7,1,Black,individual,1
JournalMotors,sedan,4,1993,"60,616 SAR",1996,"38,006 SAR",32755,5.58,2WD,standard,Madinah,2,2,Blue,company,0
Huendae,crossover,4,2003,"63,334 SAR",2005,"43,690 SAR",41446,11.87,2WD,standard,Riyadh,7,2,Red,company,0
Toyoda,crossover,6,2001,"102,271 SAR",2006,"55,042 SAR",49957,11.68,2WD,premium,Makkah,6,1,Black,company,0
Huendae,sedan,6,2000,"49,734 SAR",2002,"40,027 SAR",18367,14.03,2WD,standard,Jeddah,2,2,White,individual,1
Masda,sedan,4,2005,"65,893 SAR",2007,"50,380 SAR",32268,12.88,4WD,standard,Makkah,2,4,Gray,individual,1
Fourd,suv,4,2003,"110,836 SAR",2003,"75,811 SAR",939,5.41,2WD,standard,Dhahran,1,2,Blue,individual,0
Huendae,suv,4,1994,"66,244 SAR",1997,"45,792 SAR",131285,14.75,2WD,standard,Madinah,2,2,Black,individual,1
Shevy,suv,4,2006,"117,620 SAR",2010,"59,333 SAR",82393,3.68,2WD,standard,Dammam,4,2,Silver,company,0
Fourd,suv,4,1997,"98,419 SAR",2001,"47,165 SAR",66970,4.15,2WD,standard,Dhahran,12,4,Silver,company,0
Mercetes,sedan,4,2005,"129,151 SAR",2008,"72,879 SAR",62171,12.55,4WD,premium,Makkah,7,2,White,individual,0
JournalMotors,sedan,8,1998,"66,925 SAR",2003,"31,242 SAR",89624,7.69,2WD,standard,Dhahran,9,2,Black,individual,1
Toyoda,sedan,4,2004,"77,522 SAR",2009,"46,358 SAR",93158,13.94,4WD,standard,Riyadh,3,1,Black,individual,0
Honta,suv,4,2008,"87,408 SAR",2010,"60,147 SAR",85990,13.58,2WD,standard,Dammam,7,1,Gray,company,1
